image,cell_id,prob_dead,borderline_ghost,stage1_prediction,final_prediction,morph_confidence,prob_Crenated,prob_Healthy,prob_Stressed,review_flag,review_reason
Data_for_model/images/Control1_15_hrs_PE_4.tif,37,3.1053876103914746e-07,False,NotDead,Healthy,0.9033333333333333,0.013333333333333334,0.9033333333333333,0.08333333333333333,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,38,0.0002992975576537882,False,NotDead,Healthy,0.91,0.023333333333333334,0.91,0.06666666666666667,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,39,1.7704340496971227e-06,False,NotDead,Healthy,0.99,0.0,0.99,0.01,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,40,5.306709008889854e-07,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,41,6.173688725796822e-07,False,NotDead,Healthy,0.8133333333333334,0.03,0.8133333333333334,0.15666666666666668,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,42,1.0655430445760672e-06,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,44,6.622262960220837e-07,False,NotDead,Healthy,0.96,0.0,0.96,0.04,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,45,3.7561584187439934e-07,False,NotDead,Healthy,0.92,0.023333333333333334,0.92,0.056666666666666664,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,47,3.5402498432812735e-07,False,NotDead,Healthy,0.8,0.03666666666666667,0.8,0.16333333333333333,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,48,0.999246875872871,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,49,9.585981246296171e-05,False,NotDead,Stressed,0.53,0.17333333333333334,0.2966666666666667,0.53,True,uncertain_morphology; 
Data_for_model/images/Control1_15_hrs_PE_4.tif,50,6.21060621153191e-07,False,NotDead,Healthy,0.91,0.0,0.91,0.09,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,51,7.643659781786383e-07,False,NotDead,Stressed,0.5033333333333333,0.25333333333333335,0.24333333333333335,0.5033333333333333,True,uncertain_morphology; 
Data_for_model/images/Control1_15_hrs_PE_4.tif,52,3.434787775313808e-07,False,NotDead,Healthy,0.9866666666666667,0.0,0.9866666666666667,0.013333333333333334,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,53,0.00019285415292547015,False,NotDead,Healthy,0.9866666666666667,0.0,0.9866666666666667,0.013333333333333334,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,54,1.91079496680846e-06,False,NotDead,Healthy,0.9966666666666667,0.0033333333333333335,0.9966666666666667,0.0,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,56,0.9999961980378078,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,57,0.9999991340221156,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,58,0.9999990637071838,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,59,0.9999987418143976,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,60,0.999998940754324,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,66,0.9999991254678774,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,67,0.9999987827266983,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,69,0.99999831827988,False,Dead,Dead,,,,,False,
Data_for_model/images/Control1_15_hrs_PE_4.tif,71,0.9999990308455244,False,Dead,Dead,,,,,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,1,2.225102178843308e-06,False,NotDead,Healthy,0.89,0.006666666666666667,0.89,0.10333333333333333,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,3,6.343254970175849e-07,False,NotDead,Healthy,0.66,0.06,0.66,0.28,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,5,2.304762017013573e-06,False,NotDead,Healthy,0.97,0.0033333333333333335,0.97,0.02666666666666667,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,6,7.821667606933147e-07,False,NotDead,Healthy,0.98,0.0,0.98,0.02,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,7,2.3758507280424723e-06,False,NotDead,Healthy,0.9866666666666667,0.0,0.9866666666666667,0.013333333333333334,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,8,5.947693479946281e-07,False,NotDead,Healthy,0.98,0.0,0.98,0.02,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,10,3.3502869344337327e-06,False,NotDead,Healthy,0.8733333333333333,0.05333333333333334,0.8733333333333333,0.07333333333333333,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,14,1.0299874079189308e-05,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,16,3.2218648027271257e-07,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,20,2.9898316264986846e-06,False,NotDead,Healthy,0.86,0.02666666666666667,0.86,0.11333333333333333,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,22,2.0697679101733257e-06,False,NotDead,Healthy,0.97,0.006666666666666667,0.97,0.023333333333333334,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,25,1.9486439886140516e-06,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,26,3.5357835295179996e-06,False,NotDead,Healthy,0.7066666666666667,0.10666666666666667,0.7066666666666667,0.18666666666666668,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,27,5.474004104444319e-07,False,NotDead,Healthy,0.9966666666666667,0.0,0.9966666666666667,0.0033333333333333335,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,28,2.3062100529269713e-06,False,NotDead,Healthy,0.9533333333333334,0.013333333333333334,0.9533333333333334,0.03333333333333333,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,30,6.123617619646637e-07,False,NotDead,Healthy,0.8166666666666667,0.006666666666666667,0.8166666666666667,0.17666666666666667,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,31,3.315227732336723e-07,False,NotDead,Healthy,0.92,0.0033333333333333335,0.92,0.07666666666666666,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,32,4.481949543444497e-05,False,NotDead,Healthy,0.9733333333333334,0.01,0.9733333333333334,0.016666666666666666,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,33,1.503864587804049e-05,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,36,3.658615225976547e-05,False,NotDead,Healthy,1.0,0.0,1.0,0.0,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,39,2.485840170485254e-06,False,NotDead,Healthy,0.9566666666666667,0.0,0.9566666666666667,0.043333333333333335,False,
Data_for_model/images/Control2_15_hrs_PE_1.tif,40,3.130472555623598e-07,False,NotDead,Healthy,0.51,0.13,0.51,0.36,True,uncertain_morphology; 
